iter	Passed	Remaining
728	2196	816
729	2198	813
730	2201	809
731	2205	807
732	2206	803
733	2209	800
734	2212	797
735	2214	794
736	2218	791
737	2219	788
738	2221	784
739	2224	781
740	2228	778
741	2231	775
742	2234	772
743	2236	769
744	2239	766
745	2242	763
746	2249	761
747	2251	758
748	2253	755
749	2256	752
750	2258	748
751	2261	745
752	2263	742
753	2265	739
754	2270	736
755	2273	733
756	2275	730
757	2280	728
758	2288	726
759	2292	723
760	2293	720
761	2295	716
762	2298	713
763	2300	710
764	2311	710
765	2316	707
766	2318	704
767	2320	701
768	2322	697
769	2323	694
770	2325	690
771	2329	687
772	2330	684
773	2334	681
774	2336	678
775	2338	675
776	2341	672
777	2344	669
778	2346	665
779	2348	662
780	2351	659
781	2352	655
782	2355	652
783	2357	649
784	2359	646
785	2361	643
786	2364	639
787	2367	636
788	2369	633
789	2370	630
790	2372	626
791	2376	624
792	2378	620
793	2381	617
794	2383	614
795	2384	611
796	2386	607
797	2388	604
798	2389	601
799	2392	598
800	2394	594
801	2395	591
802	2398	588
803	2400	585
804	2401	581
805	2403	578
806	2405	575
807	2407	572
808	2408	568
809	2410	565
810	2412	562
811	2414	559
812	2418	556
813	2420	553
814	2423	550
815	2425	546
816	2427	543
817	2428	540
818	2430	537
819	2433	534
820	2435	531
821	2438	528
822	2442	525
823	2448	522
824	2449	519
825	2452	516
826	2454	513
827	2456	510
828	2457	506
829	2459	503
830	2461	500
831	2464	497
832	2465	494
833	2467	491
834	2469	487
835	2471	484
836	2473	481
837	2476	478
838	2477	475
839	2479	472
840	2482	469
841	2484	466
842	2486	463
843	2489	460
844	2491	457
845	2494	454
846	2496	450
847	2498	447
848	2501	444
849	2536	447
850	2538	444
851	2544	441
852	2546	438
853	2550	436
854	2552	432
855	2555	429
856	2557	426
857	2560	423
858	2562	420
859	2569	418
860	2571	415
861	2577	412
862	2578	409
863	2581	406
864	2582	403
865	2587	400
866	2588	397
867	2591	394
868	2594	391
869	2596	387
870	2599	385
871	2601	381
872	2604	378
873	2606	375
874	2609	372
875	2610	369
876	2613	366
877	2616	363
878	2618	360
879	2620	357
880	2625	354
881	2627	351
882	2629	348
883	2631	345
884	2635	342
885	2636	339
886	2639	336
887	2642	333
888	2643	330
889	2647	327
890	2648	324
891	2652	321
892	2654	318
893	2656	315
894	2659	311
895	2660	308
896	2663	305
897	2664	302
898	2666	299
899	2668	296
900	2671	293
901	2674	290
902	2675	287
903	2679	284
904	2680	281
905	2682	278
906	2684	275
907	2686	272
908	2689	269
909	2695	266
910	2698	263
911	2701	260
912	2702	257
913	2705	254
914	2707	251
915	2709	248
916	2711	245
917	2713	242
918	2715	239
919	2717	236
920	2719	233
921	2723	230
922	2724	227
923	2726	224
924	2727	221
925	2730	218
926	2732	215
927	2734	212
928	2736	209
929	2738	206
930	2742	203
931	2743	200
932	2747	197
933	2749	194
934	2750	191
935	2753	188
936	2755	185
937	2759	182
938	2761	179
939	2766	176
940	2767	173
941	2770	170
942	2772	167
943	2774	164
944	2777	161
945	2779	158
946	2781	155
947	2783	152
948	2785	149
949	2787	146
950	2789	143
951	2791	140
952	2794	137
953	2796	134
954	2798	131
955	2801	128
956	2802	125
957	2805	122
958	2807	120
959	2809	117
960	2812	114
961	2814	111
962	2816	108
963	2818	105
964	2819	102
965	2823	99
966	2829	96
967	2835	93
968	2838	90
969	2840	87
970	2842	84
971	2844	81
972	2846	78
973	2849	76
974	2851	73
975	2855	70
976	2857	67
977	2859	64
978	2862	61
979	2864	58
980	2865	55
981	2870	52
982	2871	49
983	2875	46
984	2877	43
985	2880	40
986	2882	37
987	2886	35
988	2888	32
989	2891	29
990	2893	26
991	2896	23
992	2898	20
993	2901	17
994	2903	14
995	2907	11
996	2909	8
997	2912	5
998	2913	2
999	2917	0
